Designator,Mid X,Mid Y,Rotation,Layer
C1,116.75,-29.25,270.0,top
C10,60.8,-93.3,90.0,top
C11,142.39,-33.8,270.0,top
C12,142.7,-58.64,270.0,top
C13,142.602,-82.77,270.0,top
C14,142.602,-107.408,270.0,top
C15,37.6012,-85.6746,90.0,top
C2,91.5,-123.25,90.0,top
C3,98.0,-104.5,180.0,top
C4,102.0,-29.25,270.0,top
C5,91.5,-119.0,270.0,top
C6,93.5,-104.5,0.0,top
C7,37.336,-34.163,0.0,top
C8,52.297,-33.401,0.0,top
CN1,109.75,-136.96,90.0,top
CN2,90.4,-137.3,90.0,top
D2,137.5,-136.8,270.0,top
D3,147.4,-131.6,180.0,top
D4,97.65,-41.25,0.0,top
D5,105.2,-120.8,90.0,top
D6,99.4,-99.2,180.0,top
F1,129.4,-135.2,0.0,top
F2,129.4,-138.3,0.0,top
J1,122.7875,-136.9425,270.0,top
J10,53.0,-46.995,90.0,top
J11,52.75,-57.895,90.0,top
J14,37.782,-114.65,0.0,top
J15,50.492,-114.625,0.0,top
J16,87.2,-108.325,90.0,top
J17,71.06,-137.02,0.0,top
J18,28.907,-108.325,90.0,top
J19,65.742,-114.625,0.0,top
J20,78.442,-114.625,0.0,top
J21,115.49,-37.9,180.0,top
J22,115.53,-46.4,180.0,top
J23,151.74,-45.0,90.0,top
J24,145.94,-45.0,90.0,top
J25,114.79,-59.9,180.0,top
J26,114.75,-68.6,180.0,top
J27,151.8,-69.4,90.0,top
J28,146.0,-69.4,90.0,top
J29,114.71,-84.491667,180.0,top
J30,114.71,-93.1,180.0,top
J31,151.8,-93.865,90.0,top
J32,145.99,-93.865,90.0,top
J33,114.6,-109.08,180.0,top
J34,114.6,-117.58,180.0,top
J35,151.8,-118.39,90.0,top
J36,145.84,-118.39,90.0,top
J37,64.5012,-81.5746,0.0,top
J38,64.4612,-73.0746,0.0,top
J39,28.2512,-74.4746,270.0,top
J40,34.0512,-74.4746,270.0,top
J5,42.225,-31.75,270.0,top
J6,57.25,-31.75,270.0,top
J8,31.532,-47.268,90.0,top
J9,31.5,-58.026,90.0,top
P1,123.65,-45.0,90.0,top
P10,123.5,-118.39,90.0,top
P11,127.31,-109.5,180.0,top
