Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",C_0805,6,10uF,C440198
"C11, C12, C13, C14, C15",CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,5,100uF,C2836442
"C7, C8",C_0603,2,100nF,C14663
"CN1, CN2",CONN-TH_3P-P2.50_HCTL_HC-5264-3A,2,HC-5264-3A,C2845815
D2,D_SMB,1,SK84B,C41410774
"D3, D4, D5, D6",D_0603,4,Yellow,C89811
"F1, F2",1206,2,Fuse,C2925020
J1,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,1,JST VH,C160315
"J10, J11, J8, J9",PinHeader_1x02_P2.54mm_Vertical,4,Generic 2.54mm,C492401
"J14, J15, J19, J20",HDR-TH_4P-P2.54-V-F,4,2.54-1*4P母,C2718488
"J16, J18",HDR-TH_6P-P2.54-V-F,2,PM254V-11-06-H85,C2832269
J17,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,C429960
"J21, J22, J25, J26, J29, J30, J33, J34, J37, J38",PinHeader_1x03_P2.54mm_Vertical,10,Jumper Pins,C49257
"J23, J27, J31, J35, J39",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,5,JST PH,C131334
"J24, J28, J32, J36, J40",PinHeader_1x04_P2.54mm_Vertical,5,Generic 2.54mm,C2691448
"J5, J6",PinHeader_1x03_P2.54mm_Vertical,2,Generic 2.54mm,C2937625
JAW,JAW,1,Maker's Mark,
"P1, P10, P12, P13, P15, P3, P4, P6, P7, P9",PinSocket_1x08_P2.54mm_Vertical,10,Header-Female-2.54_1x8,C27438
"P11, P14, P2, P5, P8",PinSocket_1x02_P2.54mm_Vertical,5,Header-Female-2.54_1x2,C49661
Q1,SOT-23,1,DMG2305UX,C144153
"Q2, Q3, Q4, Q5",Q_SOT-23,4,AO3400A,C20917
"R1, R11, R12, R13, R16, R19, R2, R20, R25, R26, R3, R4, R5, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R73, R74, R75, R76, R79, R80, R81, R82, R85, R86, R87, R88",R_0603,36,10kΩ,C25804
"R10, R8",R_0805,2,1kΩ,C17513
"R14, R15",R_0603,2,100Ω,C22775
"R17, R18, R23, R24, R6",R_0603,5,1kΩ,C21190
"R21, R22, R27, R28",R_1206,4,180Ω,C17924
R31,R_0603,1,200kΩ,C25811
R7,R_0805,1,5.1kΩ,C27834
R9,R_0805,1,2.2kΩ,C17520
S1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
"U1, U2",HDR-TH_20P-P2.54-V-F-2,2,KH-2.54FH-1X20P-H8.5,C2905423
U6,Texas_S-PDSO-G8_3x3mm_P0.65mm,1,PCA9306,C33196
