Filename:	Distribution_Board_V1.3_PickPlace

name	X-axis	Y-axis	angle	value	package	side

C1	116.75	29.25	-90.0	10uF	C_0805	top
C10	60.8	93.3	90.0	10uF	C_0603	top
C11	142.39	33.8	-90.0	100uF	CAP-SMD_BD6.3	top
C12	142.7	58.64	-90.0	100uF	CAP-SMD_BD6.3	top
C13	142.602	82.77	-90.0	100uF	CAP-SMD_BD6.3	top
C14	142.602	107.408	-90.0	100uF	CAP-SMD_BD6.3	top
C15	37.601	85.675	90.0	100uF	CAP-SMD_BD6.3	top
C16	77.984	93.286	90.0	100nF	C_0603	top
C2	91.5	123.25	90.0	10uF	C_0805	top
C3	98.0	104.5	180.0	10uF	C_0805	top
C4	102.0	29.25	-90.0	10uF	C_0805	top
C5	91.5	119.0	-90.0	10uF	C_0805	top
C6	93.5	104.5	0	10uF	C_0805	top
C7	37.336	34.163	0	100nF	C_0603	top
C8	52.297	33.401	0	100nF	C_0603	top
C9	68.078	98.518	-90.0	100nF	C_0603	top
CN1	109.75	136.96	90.0	HC-5264-3A	THT	top
CN2	90.4	137.3	90.0	HC-5264-3A	THT	top
D2	137.5	136.8	-90.0	SK84B	D_SMB	top
D3	147.4	131.6	180.0	Yellow	LED D_0603	top
D4	97.65	41.25	0	Yellow	LED D_0603	top
D5	105.2	120.8	90.0	Yellow	LED D_0603	top
D6	99.4	99.2	180.0	Yellow	LED D_0603	top
D7	100.743	33.85	180.0	Yellow	LED D_0603	top
F1	129.4	135.2	0	Fuse	1206	top
F2	129.4	138.3	0	Fuse	1206	top
J1	121.4	135.4	-90.0	JST	VH 2-pin THT	top
J10	53.0	45.725	0	PinHeader	1x02 THT	top
J11	52.75	56.625	0	PinHeader	1x02 THT	top
J12	74.0	124.05	90.0	PinHeader	1x06 THT	top
J13	44.5	127.25	0	JST	XA 10-pin THT	top
J14	37.782	114.65	0	Female	Header 4P THT	top
J15	50.492	114.625	0	Female	Header 4P THT	top
J16	87.2	108.275	90.0	PM254V	6-pin THT	top
J17	62.17	138.29	90.0	IDC	Header 2x08 THT	top
J18	28.907	108.275	90.0	PM254V	6-pin THT	top
J19	65.742	114.625	0	Female	Header 4P THT	top
J2	99.138	133.65	0	JST	VH 2-pin THT	top
J20	78.442	114.625	0	Female	Header 4P THT	top
J21	112.95	37.9	90.0	PinHeader	1x03 THT	top
J22	112.99	46.4	90.0	PinHeader	1x03 THT	top
J23	151.74	42.0	-90.0	JST	PH 4-pin THT	top
