Item,Qty,Reference,Value,Package/Footprint,MPN,Manufacturer,LCSC #,Notes
1,4,"C16, C7, C8, C9",100nF,C_0603,CC0603KRX7R9BB104,YAGEO,C14663,
2,5,"C11, C12, C13, C14, C15",100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,,,C2836442,Electrolytic polarized
3,2,"R14, R15",100Ω,R_0603,0603WAF1000T5E,UNI-ROYAL,C22775,
4,50,"R11, R12, R13, R16, R19, R2, R20, R25, R26, R29, R3, R30, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R5, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R73, R74, R75, R76, R79, R80, R81, R82, R85, R86, R87, R88",10kΩ,R_0603,0603WAF1002T5E,UNI-ROYAL,C25804,
5,1,C10,10uF,C_0603,CL10A106KP8NNNC,Samsung Electro-Mechanics,C19702,
6,6,"C1, C2, C3, C4, C5, C6",10uF,C_0805,GRM21BR61H106KE43L,Murata Electronics,C440198,
7,4,"R21, R22, R27, R28",180Ω,R_1206,1206W4F1800T5E,UNI-ROYAL,C17924,
8,6,"R1, R17, R18, R23, R24, R6",1kΩ,R_0603,0603WAF1001T5E,UNI-ROYAL,C21190,
9,2,"R10, R8",1kΩ,R_0805,0805W8F1001T5E,UNI-ROYAL,C17513,
10,1,R9,2.2kΩ,R_0805,0805W8F2201T5E,UNI-ROYAL,C17520,
11,4,"J14, J15, J19, J20",2.54-1*4P Female Header,HDR-TH_4P-P2.54-V-F,,,C2718488,
12,1,R31,200kΩ,R_0603,0603WAF2003T5E,UNI-ROYAL,C25811,
13,16,"R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58",220Ω,R_0603,0603WAF2200T5E,UNI-ROYAL,C22962,
14,1,Y1,25MHz Crystal,Crystal_SMD_3.2x2.5mm,,,C669088,
15,1,R72,300Ω,R_0603,0603WAF3000T5E,UNI-ROYAL,C23025,
16,1,R7,5.1kΩ,R_0805,0805W8F5101T5E,UNI-ROYAL,C27834,
17,4,"Q2, Q3, Q4, Q5",AO3400A,SOT-23,AO3400A,Alpha & Omega Semicon,C20917,N-Channel MOSFET
18,1,J4,JST XA 4-pin connector,JST_XA_B04B-XASK-1-A_1x04_P2.50mm_Vertical,,,C264994,
19,1,J12,Pin Header 1x06 2.54mm,PinHeader_1x06_P2.54mm_Vertical,,,C37208,
20,1,J13,JST XA 10-pin connector,JST_XA_B10B-XASK-1-A_1x10_P2.50mm_Vertical,,,C378928,
21,1,J17,IDC Header 2x08,IDC-Header_2x08_P2.54mm_Vertical,,,C429960,
22,1,Q1,DMG2305UX,SOT-23,,,C144153,P-Channel MOSFET
23,2,"F1, F2",Fuse,Fuse_1206_3216Metric,,,C2925020,
24,2,"J5, J6",Pin Header 1x03 2.54mm,PinHeader_1x03_P2.54mm_Vertical,,,C2937625,
25,4,"J10, J11, J8, J9",Pin Header 1x02 2.54mm,PinHeader_1x02_P2.54mm_Vertical,,,C492401,
26,5,"J24, J28, J32, J36, J40",Pin Header 1x04 2.54mm,PinHeader_1x04_P2.54mm_Vertical,,,C2691448,
27,2,"CN1, CN2",HC-5264-3A 3-pin connector,CONN-TH_3P-P2.50,,,C2845815,
28,5,"P11, P14, P2, P5, P8",Female Socket 1x02 2.54mm,PinSocket_1x02_P2.54mm_Vertical,,,C49661,
29,10,"P1, P10, P12, P13, P15, P3, P4, P6, P7, P9",Female Socket 1x08 2.54mm,PinSocket_1x08_P2.54mm_Vertical,,,C27438,
30,5,"J23, J27, J31, J35, J39",JST PH 4-pin connector,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,,,C131334,
31,3,"J1, J2, J3",JST VH 2-pin connector,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,,,C160315,
32,10,"J21, J22, J25, J26, J29, J30, J33, J34, J37, J38",Pin Header 1x03 2.54mm (Jumper),PinHeader_1x03_P2.54mm_Vertical,,,C49257,
33,2,"U1, U2",KH-2.54FH-1X20P-H8.5 Female Header 20P,HDR-TH_20P-P2.54-V-F-2,,,C2905423,
34,1,D1,MBR120VLSFT1G Schottky Diode,SOD-123,MBR120VLSFT1G,ON Semiconductor,,
35,1,U6,PCA9306 I2C Level Translator,Texas_S-PDSO-G8_3x3mm_P0.65mm,PCA9306,Texas Instruments,C123752,
36,1,U7,PCA9685PW 16ch PWM Controller,TSSOP-28,PCA9685PW,NXP,C92206,
37,2,"J16, J18",PM254V-11-06-H85 6-pin header,HDR-TH_6P-P2.54-V-F,,,C2832269,
38,1,U4,R-78B12-2.0 DC/DC Converter,SIP3,R-78B12-2.0,RECOM,,
39,1,U5,R-78B6.5-1.5 DC/DC Converter,SIP3,R-78B6.5-1.5,RECOM,,
40,1,U3,R-78C5.0-1.0 DC/DC Converter,SIP3,R-78C5.0-1.0,RECOM,,
41,1,D2,SK84B Schottky Diode 8A/40V,D_SMB,SK84B,hongjiacheng,C41410774,
42,1,S1,"Tactile Button 160gf",SW_TS-1088-AR02016,TS-1088-AR02016,XUNPU,C720477,
43,5,"D3, D4, D5, D6, D7",Yellow LED,D_0603,NCD0603Y2,Foshan NationStar,C89811,
44,4,"JP1, JP2, JP3, JP4",Solder Jumper 2-pole open,Jumper_2_NO,,,,SMD pad only
