RefDes,X,Y,Rotation,Side,Component
C1,116.75,29.25,-90.0,Top,10uF C_0805
C10,60.8,93.3,90.0,Top,10uF C_0603
C11,142.39,33.8,-90.0,Top,100uF CAP-SMD_BD6.3
C12,142.7,58.64,-90.0,Top,100uF CAP-SMD_BD6.3
C13,142.602,82.77,-90.0,Top,100uF CAP-SMD_BD6.3
C14,142.602,107.408,-90.0,Top,100uF CAP-SMD_BD6.3
C15,37.601,85.675,90.0,Top,100uF CAP-SMD_BD6.3
C16,77.984,93.286,90.0,Top,100nF C_0603
C2,91.5,123.25,90.0,Top,10uF C_0805
C3,98.0,104.5,180.0,Top,10uF C_0805
C4,102.0,29.25,-90.0,Top,10uF C_0805
C5,91.5,119.0,-90.0,Top,10uF C_0805
C6,93.5,104.5,0,Top,10uF C_0805
C7,37.336,34.163,0,Top,100nF C_0603
C8,52.297,33.401,0,Top,100nF C_0603
C9,68.078,98.518,-90.0,Top,100nF C_0603
CN1,109.75,136.96,90.0,Top,HC-5264-3A THT
CN2,90.4,137.3,90.0,Top,HC-5264-3A THT
D2,137.5,136.8,-90.0,Top,SK84B D_SMB
D3,147.4,131.6,180.0,Top,Yellow LED D_0603
D4,97.65,41.25,0,Top,Yellow LED D_0603
D5,105.2,120.8,90.0,Top,Yellow LED D_0603
D6,99.4,99.2,180.0,Top,Yellow LED D_0603
D7,100.743,33.85,180.0,Top,Yellow LED D_0603
F1,129.4,135.2,0,Top,Fuse 1206
F2,129.4,138.3,0,Top,Fuse 1206
J1,121.4,135.4,-90.0,Top,JST VH 2-pin THT
J10,53.0,45.725,0,Top,PinHeader 1x02 THT
J11,52.75,56.625,0,Top,PinHeader 1x02 THT
J12,74.0,124.05,90.0,Top,PinHeader 1x06 THT
J13,44.5,127.25,0,Top,JST XA 10-pin THT
J14,37.782,114.65,0,Top,Female Header 4P THT
J15,50.492,114.625,0,Top,Female Header 4P THT
J16,87.2,108.275,90.0,Top,PM254V 6-pin THT
J17,62.17,138.29,90.0,Top,IDC Header 2x08 THT
J18,28.907,108.275,90.0,Top,PM254V 6-pin THT
J19,65.742,114.625,0,Top,Female Header 4P THT
J2,99.138,133.65,0,Top,JST VH 2-pin THT
J20,78.442,114.625,0,Top,Female Header 4P THT
J21,112.95,37.9,90.0,Top,PinHeader 1x03 THT
J22,112.99,46.4,90.0,Top,PinHeader 1x03 THT
J23,151.74,42.0,-90.0,Top,JST PH 4-pin THT
J24,145.94,41.19,0,Top,PinHeader 1x04 THT
J25,112.25,59.9,90.0,Top,PinHeader 1x03 THT
J26,112.21,68.6,90.0,Top,PinHeader 1x03 THT
J27,151.8,66.4,-90.0,Top,JST PH 4-pin THT
J28,146.0,65.59,0,Top,PinHeader 1x04 THT
J29,112.17,84.492,90.0,Top,PinHeader 1x03 THT
J3,35.7,128.803,-90.0,Top,JST VH 2-pin THT
J30,112.17,93.1,90.0,Top,PinHeader 1x03 THT
J31,151.8,90.865,-90.0,Top,JST PH 4-pin THT
J32,145.99,90.055,0,Top,PinHeader 1x04 THT
J33,112.06,109.08,90.0,Top,PinHeader 1x03 THT
J34,112.06,117.58,90.0,Top,PinHeader 1x03 THT
J35,151.8,115.39,-90.0,Top,JST PH 4-pin THT
J36,145.84,114.58,0,Top,PinHeader 1x04 THT
J37,67.041,81.575,-90.0,Top,PinHeader 1x03 THT
J38,67.001,73.075,-90.0,Top,PinHeader 1x03 THT
J39,28.251,77.475,90.0,Top,JST PH 4-pin THT
J4,52.25,137.75,180.0,Top,JST XA 4-pin THT
J40,34.051,78.285,180.0,Top,PinHeader 1x04 THT
J5,42.225,34.29,180.0,Top,PinHeader 1x03 THT
J6,57.25,34.29,180.0,Top,PinHeader 1x03 THT
J8,31.532,45.998,0,Top,PinHeader 1x02 THT
J9,31.5,56.756,0,Top,PinHeader 1x02 THT
JP1,36.032,42.753,0,Top,Solder Jumper SMD
JP2,36.0,53.5,0,Top,Solder Jumper SMD
JP3,57.5,42.469,0,Top,Solder Jumper SMD
JP4,57.25,53.4,0,Top,Solder Jumper SMD
P1,123.65,36.11,0,Top,Female Socket 1x08 THT
P10,123.5,109.5,0,Top,Female Socket 1x08 THT
P11,126.04,109.5,90.0,Top,Female Socket 1x02 THT
P12,136.2,109.5,0,Top,Female Socket 1x08 THT
P13,56.341,83.365,180.0,Top,Female Socket 1x08 THT
P14,53.801,83.365,-90.0,Top,Female Socket 1x02 THT
P15,43.641,83.365,180.0,Top,Female Socket 1x08 THT
P2,126.19,36.11,90.0,Top,Female Socket 1x02 THT
P3,136.35,36.11,0,Top,Female Socket 1x08 THT
