Comment,Designator,Footprint,LCSC Part #,MPN,Manufacturer,Mount,Qty,Description
100nF,C16 C7 C8 C9,C_0603,C14663,CC0603KRX7R9BB104,YAGEO,SMT,4,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
100uF,C11 C12 C13 C14 C15,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,C2836442,,,SMT,5,"Polarized capacitor, US symbol"
100Ω,R14 R15,R_0603,C22775,0603WAF1000T5E,UNI-ROYAL(Uniroyal Elec),SMT,2,100mW Thick Film Resistors 75V ±1% ±200ppm/°C 100Ω 0603 Chip Resistor - Surface Mount ROHS
10kΩ,R11 R12 R13 R16 R19 R2 R20 R25 R26 R29 R3 R30 R32 R33 R34 R35 R36 R37 R38 R39 R4 R40 R41 R42 R5 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R70 R71 R73 R74 R75 R76 R79 R80 R81 R82 R85 R86 R87 R88,R_0603,C25804,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),SMT,50,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 10kΩ 0603 Chip Resistor - Surface Mount ROHS
10uF,C10,C_0603,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,SMT,1,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
10uF,C1 C2 C3 C4 C5 C6,C_0805,C440198,GRM21BR61H106KE43L,Murata Electronics,SMT,6,50V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
180Ω,R21 R22 R27 R28,R_1206,C17924,1206W4F1800T5E,UNI-ROYAL(Uniroyal Elec),SMT,4,250mW Thick Film Resistors 200V ±100ppm/°C ±1% 180Ω 1206 Chip Resistor - Surface Mount ROHS
1kΩ,R1 R17 R18 R23 R24 R6,R_0603,C21190,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),SMT,6,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 1kΩ 0603 Chip Resistor - Surface Mount ROHS
1kΩ,R10 R8,R_0805,C17513,0805W8F1001T5E,UNI-ROYAL(Uniroyal Elec),SMT,2,125mW Thick Film Resistors 150V ±100ppm/°C ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS
2.2kΩ,R9,R_0805,C17520,0805W8F2201T5E,UNI-ROYAL(Uniroyal Elec),SMT,1,125mW Thick Film Resistors 150V ±100ppm/°C ±1% 2.2kΩ 0805 Chip Resistor - Surface Mount ROHS
2.54-1*4P母,J14 J15 J19 J20,HDR-TH_4P-P2.54-V-F,C2718488,,,THT,4,
200kΩ,R31,R_0603,C25811,0603WAF2003T5E,UNI-ROYAL(Uniroyal Elec),SMT,1,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 200kΩ 0603 Chip Resistor - Surface Mount ROHS
220Ω,R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R58,R_0603,C22962,0603WAF2200T5E,UNI-ROYAL(Uniroyal Elec),SMT,16,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 220Ω 0603 Chip Resistor - Surface Mount ROHS
25MHz,Y1,Crystal_SMD_3.2x2.5mm,C669088,,,SMT,1,Oscillator clock source
300Ω,R72,R_0603,C23025,0603WAF3000T5E,UNI-ROYAL(Uniroyal Elec),SMT,1,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 300Ω 0603 Chip Resistor - Surface Mount ROHS
5.1kΩ,R7,R_0805,C27834,0805W8F5101T5E,UNI-ROYAL(Uniroyal Elec),SMT,1,125mW Thick Film Resistors 150V ±100ppm/°C ±1% 5.1kΩ 0805 Chip Resistor - Surface Mount ROHS
AO3400A,Q2 Q3 Q4 Q5,Q_SOT-23,C20917,AO3400A,Alpha & Omega Semicon,SMT,4,"30V 5.7A 26.5mΩ@10V,5.7A 1.4W 1.5V@250uA 1 N-Channel SOT-23-3L MOSFETs ROHS"
Conn_01x04,J4,JST_XA_B04B-XASK-1-A_1x04_P2.50mm_Vertical,C264994,,,THT,1,"Generic connector, single row, 01x04"
Conn_01x06,J12,PinHeader_1x06_P2.54mm_Vertical,C37208,,,THT,1,"Generic connector, single row, 01x06"
Conn_01x10,J13,JST_XA_B10B-XASK-1-A_1x10_P2.50mm_Vertical,C378928,,,THT,1,"Generic connector, single row, 01x10"
Conn_02x08_Odd_Even,J17,IDC-Header_2x08_P2.54mm_Vertical,C429960,,,THT,1,"Generic connector, double row, 02x08"
DMG2305UX,Q1,SOT-23,C144153,,,SMT,1,"-3A Id, -20V Vds, P-Channel MOSFET, SOT-23"
Fuse,F1 F2,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C2925020,,,SMT,2,Fuse
Generic 2.54mm,J5 J6,PinHeader_1x03_P2.54mm_Vertical,C2937625,,,THT,2,"Generic connector, single row, 01x03"
