Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,116.75,29.25,-90.0,Top
C10,10uF,C_0603,60.8,93.3,90.0,Top
C11,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.39,33.8,-90.0,Top
C12,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.7,58.64,-90.0,Top
C13,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.602,82.77,-90.0,Top
C14,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.602,107.408,-90.0,Top
C15,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,37.601,85.675,90.0,Top
C16,100nF,C_0603,77.984,93.286,90.0,Top
C2,10uF,C_0805,91.5,123.25,90.0,Top
C3,10uF,C_0805,98.0,104.5,180.0,Top
C4,10uF,C_0805,102.0,29.25,-90.0,Top
C5,10uF,C_0805,91.5,119.0,-90.0,Top
C6,10uF,C_0805,93.5,104.5,0,Top
C7,100nF,C_0603,37.336,34.163,0,Top
C8,100nF,C_0603,52.297,33.401,0,Top
C9,100nF,C_0603,68.078,98.518,-90.0,Top
CN1,HC-5264-3A,CONN-TH_3P-P2.50_HCTL_HC-5264-3A,109.75,136.96,90.0,Top
CN2,HC-5264-3A,CONN-TH_3P-P2.50_HCTL_HC-5264-3A,90.4,137.3,90.0,Top
D1,MBR120VLSFT1G,SOD-123,98.517,31.6,0,Top
D2,SK84B,D_SMB,137.5,136.8,-90.0,Top
D3,Yellow,D_0603,147.4,131.6,180.0,Top
D4,Yellow,D_0603,97.65,41.25,0,Top
D5,Yellow,D_0603,105.2,120.8,90.0,Top
D6,Yellow,D_0603,99.4,99.2,180.0,Top
D7,Yellow,D_0603,100.743,33.85,180.0,Top
F1,Fuse,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,129.4,135.2,0,Top
F2,Fuse,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,129.4,138.3,0,Top
J1,JST VH,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,121.4,135.4,-90.0,Top
J10,Generic 2.54mm,PinHeader_1x02_P2.54mm_Vertical,53.0,45.725,0,Top
J11,Generic 2.54mm,PinHeader_1x02_P2.54mm_Vertical,52.75,56.625,0,Top
J12,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,74.0,124.05,90.0,Top
J13,Conn_01x10,JST_XA_B10B-XASK-1-A_1x10_P2.50mm_Vertical,44.5,127.25,0,Top
J14,2.54-1*4P母,HDR-TH_4P-P2.54-V-F,37.782,114.65,0,Top
J15,2.54-1*4P母,HDR-TH_4P-P2.54-V-F,50.492,114.625,0,Top
J16,PM254V-11-06-H85,HDR-TH_6P-P2.54-V-F,87.2,108.275,90.0,Top
J17,Conn_02x08_Odd_Even,IDC-Header_2x08_P2.54mm_Vertical,62.17,138.29,90.0,Top
J18,PM254V-11-06-H85,HDR-TH_6P-P2.54-V-F,28.907,108.275,90.0,Top
J19,2.54-1*4P母,HDR-TH_4P-P2.54-V-F,65.742,114.625,0,Top
J2,JST VH,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,99.138,133.65,0,Top
J20,2.54-1*4P母,HDR-TH_4P-P2.54-V-F,78.442,114.625,0,Top
J21,Jumper Pins,PinHeader_1x03_P2.54mm_Vertical,112.95,37.9,90.0,Top
J22,Jumper Pins,PinHeader_1x03_P2.54mm_Vertical,112.99,46.4,90.0,Top
J23,JST PH,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,151.74,42.0,-90.0,Top
J24,Generic 2.54mm,PinHeader_1x04_P2.54mm_Vertical,145.94,41.19,0,Top
J25,Jumper Pins,PinHeader_1x03_P2.54mm_Vertical,112.25,59.9,90.0,Top
J26,Jumper Pins,PinHeader_1x03_P2.54mm_Vertical,112.21,68.6,90.0,Top
J27,JST PH,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,151.8,66.4,-90.0,Top
J28,Generic 2.54mm,PinHeader_1x04_P2.54mm_Vertical,146.0,65.59,0,Top
J29,Jumper Pins,PinHeader_1x03_P2.54mm_Vertical,112.17,84.492,90.0,Top
J3,JST VH,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,35.7,128.803,-90.0,Top
