Item,Qty,Reference,Value,Package/Footprint,MPN,Manufacturer,LCSC #,Notes
1,1,R1,0Ω,R_0603,0603WAF0000T5E,UNI-ROYAL,C21189,
2,1,C3,100nF,C_0603,CC0603KRX7R9BB104,YAGEO,C14663,
3,1,C1,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,,,C2836442,Electrolytic polarized
4,1,R3,10kΩ,R_0603,0603WAF1002T5E,UNI-ROYAL,C25804,
5,1,C2,1uF,C_0603,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,
6,1,J5,Conn 1x03 2.54mm horizontal,PinHeader_1x03_P2.54mm_Horizontal,,,C492411,
7,2,"J6, J7",JST XA 4-pin connector,JST_XA_B04B-XASK-1-A_1x04_P2.50mm_Vertical,,,C264994,
8,2,"J1, J2",JST XA 10-pin connector,JST_XA_B10B-XASK-1-A_1x10_P2.50mm_Vertical,,,C378928,
9,2,"J3, J4",IDC Header 2x08,IDC-Header_2x08_P2.54mm_Vertical,,,C429960,
10,1,JP1,Solder Jumper 2-pole bridged,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,,,SMD pad only
