Designator,Footprint,Mid X(mm),Mid Y(mm),Layer,Rotation,Comment
C1,C_0805,116.75,29.25,Top,-90.0,10uF
C10,C_0603,60.8,93.3,Top,90.0,10uF
C11,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.39,33.8,Top,-90.0,100uF
C12,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.7,58.64,Top,-90.0,100uF
C13,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.602,82.77,Top,-90.0,100uF
C14,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,142.602,107.408,Top,-90.0,100uF
C15,CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD,37.601,85.675,Top,90.0,100uF
C16,C_0603,77.984,93.286,Top,90.0,100nF
C2,C_0805,91.5,123.25,Top,90.0,10uF
C3,C_0805,98.0,104.5,Top,180.0,10uF
C4,C_0805,102.0,29.25,Top,-90.0,10uF
C5,C_0805,91.5,119.0,Top,-90.0,10uF
C6,C_0805,93.5,104.5,Top,0,10uF
C7,C_0603,37.336,34.163,Top,0,100nF
C8,C_0603,52.297,33.401,Top,0,100nF
C9,C_0603,68.078,98.518,Top,-90.0,100nF
CN1,CONN-TH_3P-P2.50_HCTL_HC-5264-3A,109.75,136.96,Top,90.0,HC-5264-3A
CN2,CONN-TH_3P-P2.50_HCTL_HC-5264-3A,90.4,137.3,Top,90.0,HC-5264-3A
D2,D_SMB,137.5,136.8,Top,-90.0,SK84B
D3,D_0603,147.4,131.6,Top,180.0,Yellow LED
D4,D_0603,97.65,41.25,Top,0,Yellow LED
D5,D_0603,105.2,120.8,Top,90.0,Yellow LED
D6,D_0603,99.4,99.2,Top,180.0,Yellow LED
D7,D_0603,100.743,33.85,Top,180.0,Yellow LED
F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,129.4,135.2,Top,0,Fuse
F2,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,129.4,138.3,Top,0,Fuse
J1,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,121.4,135.4,Top,-90.0,JST VH
J10,PinHeader_1x02_P2.54mm_Vertical,53.0,45.725,Top,0,Generic 2.54mm
J11,PinHeader_1x02_P2.54mm_Vertical,52.75,56.625,Top,0,Generic 2.54mm
J12,PinHeader_1x06_P2.54mm_Vertical,74.0,124.05,Top,90.0,Conn_01x06
J13,JST_XA_B10B-XASK-1-A_1x10_P2.50mm_Vertical,44.5,127.25,Top,0,Conn_01x10
J14,HDR-TH_4P-P2.54-V-F,37.782,114.65,Top,0,2.54-1*4P Female
J15,HDR-TH_4P-P2.54-V-F,50.492,114.625,Top,0,2.54-1*4P Female
J16,HDR-TH_6P-P2.54-V-F,87.2,108.275,Top,90.0,PM254V-11-06-H85
J17,IDC-Header_2x08_P2.54mm_Vertical,62.17,138.29,Top,90.0,Conn_02x08
J18,HDR-TH_6P-P2.54-V-F,28.907,108.275,Top,90.0,PM254V-11-06-H85
J19,HDR-TH_4P-P2.54-V-F,65.742,114.625,Top,0,2.54-1*4P Female
J2,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,99.138,133.65,Top,0,JST VH
J20,HDR-TH_4P-P2.54-V-F,78.442,114.625,Top,0,2.54-1*4P Female
J21,PinHeader_1x03_P2.54mm_Vertical,112.95,37.9,Top,90.0,Jumper Pins
J22,PinHeader_1x03_P2.54mm_Vertical,112.99,46.4,Top,90.0,Jumper Pins
J23,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,151.74,42.0,Top,-90.0,JST PH
J24,PinHeader_1x04_P2.54mm_Vertical,145.94,41.19,Top,0,Generic 2.54mm
J25,PinHeader_1x03_P2.54mm_Vertical,112.25,59.9,Top,90.0,Jumper Pins
J26,PinHeader_1x03_P2.54mm_Vertical,112.21,68.6,Top,90.0,Jumper Pins
J27,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,151.8,66.4,Top,-90.0,JST PH
J28,PinHeader_1x04_P2.54mm_Vertical,146.0,65.59,Top,0,Generic 2.54mm
J29,PinHeader_1x03_P2.54mm_Vertical,112.17,84.492,Top,90.0,Jumper Pins
J3,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,35.7,128.803,Top,-90.0,JST VH
J30,PinHeader_1x03_P2.54mm_Vertical,112.17,93.1,Top,90.0,Jumper Pins
J31,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,151.8,90.865,Top,-90.0,JST PH
J32,PinHeader_1x04_P2.54mm_Vertical,145.99,90.055,Top,0,Generic 2.54mm
J33,PinHeader_1x03_P2.54mm_Vertical,112.06,109.08,Top,90.0,Jumper Pins
