wb,exposure,gain,neutrality,luminance_err,color_err,total
6150,1,0,338.0,283.0,27.0,986.0
6250,1,0,342.0,282.45,23.0,989.45
6200,1,0,344.0,282.16,21.0,991.16
6100,1,0,344.0,283.09,24.0,995.09
6250,1,0,348.0,282.6,23.0,1001.6
6050,1,0,342.0,284.2,34.0,1002.2
6300,1,0,352.0,281.34,21.0,1006.34
6350,1,0,356.0,280.97,19.0,1011.97
6000,1,0,350.0,283.33,35.0,1018.33
5750,1,0,350.0,285.13,49.0,1034.13
6400,1,0,368.0,280.86,19.0,1035.86
6500,1,0,370.0,278.68,20.0,1038.68
6450,1,0,370.0,280.67,19.0,1039.67
6250,3,0,454.0,132.04,13.0,1053.04
6250,11,0,426.0,185.5,24.0,1061.5
6000,3,0,470.0,134.11,17.0,1091.11
5500,1,0,376.0,286.29,61.0,1099.29
6500,3,0,478.0,129.88,16.0,1101.88
6000,11,0,452.0,180.57,31.0,1115.57
6500,11,0,454.0,187.48,25.0,1120.48
5750,3,0,492.0,136.77,25.0,1145.77
6250,38,0,202.0,379.65,385.0,1168.65
5750,11,0,484.0,177.36,38.0,1183.36
5250,1,0,412.0,288.73,71.0,1183.73
6500,38,0,224.0,382.48,376.0,1206.48
6000,38,0,216.0,378.06,398.0,1208.07
5750,38,0,224.0,375.85,405.0,1228.85
5500,3,0,542.0,138.44,32.0,1254.43
5500,38,0,246.0,371.31,424.0,1287.32
5000,1,0,460.0,290.56,82.0,1292.56
5500,11,0,546.0,172.45,48.0,1312.45
5250,38,0,288.0,368.24,419.0,1363.24
4750,1,0,492.0,292.44,99.0,1375.44
3750,1,0,494.0,287.62,116.0,1391.62
5250,3,0,606.0,142.63,45.0,1399.63
4000,1,0,514.0,292.06,105.0,1425.06
5000,38,0,318.0,364.47,444.0,1444.47
4500,1,0,522.0,294.01,107.0,1445.01
5250,11,0,612.0,165.95,61.0,1450.95
4250,1,0,550.0,295.12,123.0,1518.12
5000,3,0,662.0,145.32,56.0,1525.32
4750,38,0,370.0,358.92,439.0,1537.92
4000,38,0,354.0,362.08,483.0,1553.08
3750,38,0,340.0,367.44,536.0,1583.44
5500,130,0,110.0,423.39,946.0,1589.39
5250,130,0,124.0,422.45,926.0,1596.45
5750,130,0,110.0,423.81,960.0,1603.81
3500,1,0,580.0,292.35,163.0,1615.35
5000,11,0,694.0,159.38,70.0,1617.38
5000,130,0,146.0,421.92,908.0,1621.92
6000,130,0,120.0,424.93,974.0,1638.93
4500,38,0,414.0,353.97,467.0,1648.97
4750,3,0,720.0,149.42,64.0,1653.42
4750,130,0,170.0,420.67,895.0,1655.67
4500,130,0,188.0,420.09,873.0,1669.09
5500,5000,0,12.0,474.47,1175.0,1673.47
4000,439,0,10.0,474.17,1185.0,1679.17
4000,5000,0,10.0,474.17,1185.0,1679.17
5000,439,0,10.0,474.17,1185.0,1679.17
5500,439,0,10.0,474.17,1185.0,1679.17
6500,439,0,10.0,474.17,1185.0,1679.17
6500,5000,0,10.0,474.17,1185.0,1679.17
5000,1481,0,10.0,474.17,1186.0,1680.17
6500,1481,0,10.0,474.17,1186.0,1680.17
4750,1481,0,12.0,474.47,1185.0,1683.47
4750,5000,0,12.0,474.47,1185.0,1683.47
5250,1481,0,12.0,474.47,1185.0,1683.47
5500,1481,0,12.0,474.47,1185.0,1683.47
5750,439,0,12.0,474.47,1185.0,1683.47
6000,5000,0,12.0,474.47,1185.0,1683.47
6250,1481,0,12.0,474.47,1185.0,1683.47
6000,1481,0,12.0,474.47,1186.0,1684.47
6250,5000,0,12.0,474.47,1186.0,1684.47
4000,130,0,170.0,420.54,924.0,1684.54
5250,439,0,12.0,474.58,1186.0,1684.58
6250,130,0,136.0,425.41,988.0,1685.41
5750,5000,0,14.0,473.88,1185.0,1686.88
6000,439,0,14.0,473.88,1185.0,1686.88
5250,5000,0,14.0,473.88,1186.0,1687.88
5750,1481,0,14.0,473.88,1186.0,1687.88
4000,1481,0,14.0,473.99,1186.0,1687.99
6250,439,0,14.0,473.99,1186.0,1687.99
4500,1481,0,10.0,473.87,1195.0,1688.87
4500,5000,0,10.0,473.87,1196.0,1689.87
5000,5000,0,16.0,474.18,1186.0,1692.18
4500,439,0,12.0,473.28,1195.0,1692.28
4750,439,0,12.0,473.88,1195.0,1692.88
4250,130,0,206.0,418.16,865.0,1695.16
3250,5000,0,12.0,475.28,1196.0,1695.28
4250,1481,0,14.0,472.7,1195.0,1695.7
4250,5000,0,14.0,472.7,1196.0,1696.7
3500,38,0,412.0,359.24,514.0,1697.24
3500,439,0,20.0,474.63,1184.0,1698.63
3750,5000,0,14.0,474.99,1196.0,1698.99
4250,439,0,16.0,472.11,1195.0,1699.11
3500,5000,0,18.0,475.52,1192.0,1703.52
6500,130,0,138.0,425.73,1002.0,1703.72
3500,1481,0,12.0,475.58,1206.0,1705.58
3750,130,0,164.0,423.44,955.0,1706.44
3250,1481,0,12.0,474.98,1210.0,1708.98
3750,3,0,726.0,143.7,114.0,1709.7
3250,439,0,20.0,474.04,1199.0,1713.04
3750,1481,0,16.0,475.11,1206.0,1713.11
3750,439,0,18.0,474.52,1210.0,1720.52
4000,3,0,748.0,148.73,85.0,1729.73
3000,439,0,36.0,471.11,1200.0,1743.11
4250,38,0,456.0,351.39,483.0,1746.39
3000,5000,0,34.0,471.88,1211.0,1750.88
3000,1481,0,34.0,472.0,1211.0,1751.0
4750,11,0,768.0,152.22,85.0,1773.22
3500,130,0,226.0,420.55,923.0,1795.55
4500,3,0,794.0,153.14,71.0,1812.14
3250,1,0,674.0,295.05,202.0,1845.05
3750,11,0,744.0,161.84,211.0,1860.84
3250,130,0,274.0,418.55,905.0,1871.55
4000,11,0,778.0,154.66,184.0,1894.66
4250,3,0,832.0,155.46,80.0,1899.46
4500,11,0,848.0,143.49,110.0,1949.49
3250,38,0,508.0,351.32,583.0,1950.32
3000,130,0,348.0,412.08,876.0,1984.08
3500,3,0,866.0,150.43,161.0,2043.43
3000,1,0,754.0,294.72,263.0,2065.72
4250,11,0,898.0,138.27,152.0,2086.27
3000,38,0,612.0,340.96,592.0,2156.96
3500,11,0,910.0,147.98,259.0,2226.97
3250,3,0,1000.0,155.78,218.0,2373.78
3250,11,0,1094.0,129.26,297.0,2614.26
3000,3,0,1106.0,157.78,280.0,2649.78
3000,11,0,1210.0,121.26,347.0,2888.26
