wb,exposure,gain,neutrality,luminance_err,color_err,clip_penalty,total
6150,5,0,206.73,3.51,9.0,0.0,425.96
6200,5,0,208.78,2.58,8.0,0.0,428.14
6050,5,0,207.36,5.04,11.0,0.0,430.75
6250,5,0,212.56,3.1,6.0,0.0,434.23
6100,5,0,211.88,4.31,8.0,0.0,436.07
6250,5,0,215.01,3.2,3.0,0.0,436.21
6300,5,0,216.01,2.06,4.0,0.0,438.09
6350,5,0,219.98,1.94,3.0,0.0,444.91
6400,5,0,224.04,1.96,1.0,0.0,451.05
6500,5,0,224.37,1.25,2.0,0.0,451.98
6000,5,0,217.97,5.77,11.0,0.0,452.71
6450,5,0,225.76,2.44,5.0,0.0,458.95
5750,5,0,227.92,9.61,20.0,0.0,485.44
6250,4,0,217.13,50.37,11.0,0.0,495.62
6500,4,0,229.67,48.01,7.0,0.0,514.34
6000,4,0,221.84,54.66,20.0,0.0,518.33
5500,5,0,252.6,11.89,31.0,0.0,548.08
5750,4,0,233.42,57.17,25.0,0.0,549.01
6000,6,0,213.43,32.44,9.0,100.0,568.3
6250,6,0,215.9,36.11,5.0,100.0,572.91
6250,3,0,215.59,132.43,13.0,0.0,576.61
5750,6,0,219.32,29.05,18.0,100.0,585.69
6000,3,0,218.66,134.57,18.0,0.0,589.89
6500,3,0,224.45,130.07,17.0,0.0,595.98
5500,4,0,261.36,60.4,34.0,0.0,617.11
5250,5,0,289.57,17.33,37.0,0.0,633.47
5750,3,0,241.49,137.24,25.0,0.0,645.23
5500,7,0,229.19,61.71,28.0,100.0,648.08
5500,6,0,250.98,24.25,28.0,100.0,654.21
6250,9,0,161.78,133.23,16.0,200.0,672.79
6250,7,0,195.41,75.19,12.0,200.0,678.01
6250,8,0,183.71,103.83,13.0,200.0,684.25
6000,9,0,170.89,130.51,14.0,200.0,686.3
6500,6,0,220.65,39.46,10.0,200.0,690.77
6000,7,0,204.93,70.79,14.0,200.0,694.66
6000,8,0,192.8,99.68,16.0,200.0,701.28
5250,4,0,300.1,63.41,41.0,0.0,704.62
5750,7,0,209.76,66.12,20.0,200.0,705.64
5750,8,0,196.45,94.61,21.0,200.0,708.52
5750,9,0,179.09,125.68,25.0,200.0,708.86
5500,3,0,269.42,139.79,31.0,0.0,709.64
6500,8,0,193.52,108.11,19.0,200.0,714.15
5250,6,0,281.2,17.81,36.0,100.0,716.21
5250,8,0,247.24,84.58,40.0,100.0,719.07
6500,7,0,211.05,79.76,19.0,200.0,720.87
5250,7,0,264.48,55.11,38.0,100.0,722.08
5500,8,0,218.35,90.13,28.0,200.0,754.84
5000,4,0,321.81,67.99,46.0,0.0,757.62
5500,9,0,202.3,120.43,33.0,200.0,758.03
5000,7,0,288.37,49.35,46.0,100.0,772.1
5000,8,0,278.6,77.54,49.0,100.0,783.74
5000,9,0,260.25,109.62,54.0,100.0,784.11
5000,6,0,315.8,12.47,46.0,100.0,790.07
6250,10,0,153.54,165.33,18.0,300.0,790.41
5250,3,0,299.93,142.79,48.0,0.0,790.65
6500,9,0,176.49,137.88,22.0,300.0,812.86
5250,9,0,230.82,115.55,45.0,200.0,822.2
5000,5,0,327.96,21.37,47.0,100.0,824.29
5750,10,0,167.27,158.39,32.0,300.0,824.93
4750,4,0,360.19,71.59,55.0,0.0,846.96
4750,8,0,312.68,70.16,63.0,100.0,858.52
5000,3,0,333.6,145.75,51.0,0.0,863.94
4750,7,0,334.31,41.49,60.0,100.0,870.1
5500,10,0,189.52,153.7,39.0,300.0,871.74
4750,6,0,354.4,12.09,60.0,100.0,880.9
6000,10,0,157.72,162.22,19.0,400.0,896.65
4750,5,0,362.69,26.11,56.0,100.0,907.49
4000,4,0,373.8,71.53,96.0,0.0,915.13
6500,10,0,161.42,168.8,25.0,400.0,916.65
3750,4,0,366.1,66.65,120.0,0.0,918.86
5250,10,0,216.85,146.41,48.0,300.0,928.1
4500,4,0,396.45,77.2,65.0,0.0,935.1
4000,6,0,355.81,11.95,121.0,100.0,944.57
4500,8,0,356.69,61.53,80.0,100.0,954.91
4500,7,0,370.77,37.56,76.0,100.0,955.09
4000,8,0,317.07,73.29,149.0,100.0,956.43
4000,5,0,363.63,25.34,105.0,100.0,957.6
4750,3,0,370.1,150.57,67.0,0.0,957.77
4750,9,0,293.87,101.45,70.0,200.0,959.18
4000,7,0,339.68,43.19,139.0,100.0,961.55
3750,6,0,345.47,14.58,157.0,100.0,962.52
3750,5,0,352.91,19.75,139.0,100.0,964.57
4500,6,0,392.24,17.21,71.0,100.0,972.69
